Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Proportion of population living below the national poverty line,11.2,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,10.9,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,11.5,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,8.3,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,14.2,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,53.9,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,2.3,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,24,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,17.3,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,13.8,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,10.1,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,5.1,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,0.9,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,17.1,2015,,SUSENAS,,All,All,All,All,All,Aceh,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,10.5,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,7.3,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,8.4,2015,,SUSENAS,,All,All,All,All,All,Riau,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,8.9,2015,,SUSENAS,,All,All,All,All,All,Jambi,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,14.2,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,17.9,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,14.3,2015,,SUSENAS,,All,All,All,All,All,Lampung,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,5.4,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,6.2,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,3.9,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,9.5,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,13.6,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,14.9,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,12.3,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,5.9,2015,,SUSENAS,,All,All,All,All,All,Banten,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,4.7,2015,,SUSENAS,,All,All,All,All,All,Bali,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,17.1,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,22.6,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,5.9,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,5,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,6.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,6.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,8.6,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,14.7,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,9.4,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,12.9,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,18.3,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,12.4,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,19.5,2015,,SUSENAS,,All,All,All,All,All,Maluku,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,6.8,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,25.8,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,All,1,,,,,,,,,,,,
Proportion of population living below the national poverty line,28.2,2015,,SUSENAS,,All,All,All,All,All,Papua,,All,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,13.7,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,13.7,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,13.7,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,10.3,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,16.8,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,56,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,2.7,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,30.4,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,22.1,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,17.2,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,12.9,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,6.8,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,1.2,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,20.9,2015,,SUSENAS,,All,All,All,All,All,Aceh,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,14.4,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,9.8,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,11.3,2015,,SUSENAS,,All,All,All,All,All,Riau,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,11.1,2015,,SUSENAS,,All,All,All,All,All,Jambi,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,17.3,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,21,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,17.1,2015,,SUSENAS,,All,All,All,All,All,Lampung,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,6.6,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,7.7,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,5.7,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,11.8,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,15,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,17.7,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,13.5,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,7.7,2015,,SUSENAS,,All,All,All,All,All,Banten,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,6,2015,,SUSENAS,,All,All,All,All,All,Bali,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,20.5,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,27.1,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,10,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,7.5,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,6.4,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,7.4,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,8.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,< 18 yrs,1,,,,,,,,,,,,
