Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
"Adolescent birth rate (per 1,000 women aged 15-19 years)",48.00,2012,,IDHS,,All,All,All,All,All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",32.00,2012,,IDHS,,All,Urban,All,All,All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",70.00,2012,,IDHS,,All,Rural,All,All,All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",93.00,2012,,IDHS,,All,All,All,Q1 (poorest),All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",72.00,2012,,IDHS,,All,All,All,Q2,All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",45.00,2012,,IDHS,,All,All,All,Q3,All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",35.00,2012,,IDHS,,All,All,All,Q4,All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.00,2012,,IDHS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",25.00,2012,,IDHS,,All,All,All,All,All,Aceh,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",32.00,2012,,IDHS,,All,All,All,All,All,Sumatera Utara,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",26.00,2012,,IDHS,,All,All,All,All,All,Sumatera Barat,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",42.00,2012,,IDHS,,All,All,All,All,All,Riau,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",75.00,2012,,IDHS,,All,All,All,All,All,Jambi,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",66.00,2012,,IDHS,,All,All,All,All,All,Sumatera Selatan,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",51.00,2012,,IDHS,,All,All,All,All,All,Bengkulu,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",59.00,2012,,IDHS,,All,All,All,All,All,Lampung,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",61.00,2012,,IDHS,,All,All,All,All,All,Kepulauan Bangka Belitung,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",33.00,2012,,IDHS,,All,All,All,All,All,Kepulauan Riau,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",20.00,2012,,IDHS,,All,All,All,All,All,DKI Jakarta,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",52.00,2012,,IDHS,,All,All,All,All,All,Jawa Barat,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",35.00,2012,,IDHS,,All,All,All,All,All,Jawa Tengah,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",32.00,2012,,IDHS,,All,All,All,All,All,DI Yogyakarta,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",53.00,2012,,IDHS,,All,All,All,All,All,Jawa Timur,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",32.00,2012,,IDHS,,All,All,All,All,All,Banten,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",44.00,2012,,IDHS,,All,All,All,All,All,Bali,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",75.00,2012,,IDHS,,All,All,All,All,All,Nusa Tenggara Barat,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",39.00,2012,,IDHS,,All,All,All,All,All,Nusa Tenggara Timur,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",104.00,2012,,IDHS,,All,All,All,All,All,Kalimantan Barat,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",91.00,2012,,IDHS,,All,All,All,All,All,Kalimantan Tengah,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",73.00,2012,,IDHS,,All,All,All,All,All,Kalimantan Selatan,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",50.00,2012,,IDHS,,All,All,All,All,All,Kalimantan Timur,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",50.00,2012,,IDHS,,All,All,All,All,All,Kalimantan Utara,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",68.00,2012,,IDHS,,All,All,All,All,All,Sulawesi Utara,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",91.00,2012,,IDHS,,All,All,All,All,All,Sulawesi Tengah,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",53.00,2012,,IDHS,,All,All,All,All,All,Sulawesi Selatan,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",57.00,2012,,IDHS,,All,All,All,All,All,Sulawesi Tenggara,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",62.00,2012,,IDHS,,All,All,All,All,All,Gorontalo,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",101.00,2012,,IDHS,,All,All,All,All,All,Sulawesi Barat,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",51.00,2012,,IDHS,,All,All,All,All,All,Maluku,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",60.00,2012,,IDHS,,All,All,All,All,All,Maluku Utara,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",82.00,2012,,IDHS,,All,All,All,All,All,Papua Barat,,15-19 yrs,3,,,,,,,,,,,,
"Adolescent birth rate (per 1,000 women aged 15-19 years)",53.00,2012,,IDHS,,All,All,All,All,All,Papua,,15-19 yrs,3,,,,,,,,,,,,
Health insurance coverage,50.60,2015,,SUSENAS ,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,53.10,2015,,SUSENAS ,,All,Urban,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,47.90,2015,,SUSENAS ,,All,Rural,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,50.90,2015,,SUSENAS ,,All,All,All,Q1 (poorest),All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,47.30,2015,,SUSENAS ,,All,All,All,Q2,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,46.40,2015,,SUSENAS ,,All,All,All,Q3,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,48.20,2015,,SUSENAS ,,All,All,All,Q4,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,60.00,2015,,SUSENAS ,,All,All,All,Q5 (wealthiest),All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,48.10,2015,,SUSENAS ,,All,All,All,All,No school,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,49.20,2015,,SUSENAS ,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,46.30,2015,,SUSENAS ,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,All,3,,,,,,,,,,,,
