Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Number of adults as victims of human trafficking,6067,Number,2015,,Pencegahan dan Penanganan Tindak Pidana Perdagangan Orang Laporan,,All,All,All,All,All,All Indonesia,,18+ yrs,16,,,,,,,,,,,,
"Number of adults as victims of human trafficking (per 100,000 people)",3.6,Number,2015,,Pencegahan dan Penanganan Tindak Pidana Perdagangan Orang Laporan,,All,All,All,All,All,All Indonesia,,18+ yrs,16,,,,,,,,,,,,
Number of children as victims of human trafficking,1126,Number,2015,,Pencegahan dan Penanganan Tindak Pidana Perdagangan Orang Laporan,,All,All,All,All,All,All Indonesia,,<18 yrs,16,,,,,,,,,,,,
"Number of children as victims of human trafficking (per 100,000 people)",1.3,Number,2015,,Pencegahan dan Penanganan Tindak Pidana Perdagangan Orang Laporan,,All,All,All,All,All,All Indonesia,,<18 yrs,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,72.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,79.9,Percent ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,65.4,Percent ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,61.7,Percent ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,67.4,Percent ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,73.4,Percent ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,80.5,Percent ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,86.7,Percent ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,52.6,Percent ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,60.9,Percent ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,67.9,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,72.2,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,81,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,89.7,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,70.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,54.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,0-59 months,16,,,,,,,,,,,,
